g,b,exp_val
"[2.0848751246550443, 1.1995171950070118]","[2.3133545903706656, 1.5993562600093492]",8.566084754644944
"[2.0848751246550443, 1.6279161932238018]","[1.1423973285781064, 1.8278357257249704]",8.477742279525266
"[0.5711986642890533, 0.6854383971468639]","[2.3419145235851184, 2.1419949910839495]",9.330300535440882
"[2.2847946571562128, 1.4851165271515385]","[1.3137569278648225, 1.4851165271515385]",8.383399840507183
"[2.113435057869497, 0.9710377292913905]","[2.1705549242984024, 1.2280771282214644]",8.588959846042314
"[1.427996660722633, 0.7425582635757693]","[0.7996781300046746, 2.3990343900140236]",6.341306750567794
"[0.42839899821678995, 1.028157595720296]","[0.6854383971468639, 0.9995976625058433]",3.9657741787257597
"[1.113837395363654, 2.3704744567995713]","[3.0844727871608875, 1.5707963267948966]",7.817815223405102
"[2.627513855729645, 0.9710377292913905]","[0.7711181967902219, 2.4275943232284765]",8.280689473106126
"[1.3994367275081805, 0.9995976625058433]","[2.1705549242984024, 2.5132741228718345]",7.447349314428701
"[0.34271919857343197, 1.7135959928671598]","[2.627513855729645, 0.37127913178788463]",6.199969802534633
"[1.6564761264382544, 2.7417535885874558]","[1.3137569278648225, 0.8853579296480326]",8.106545821441282
"[2.4275943232284765, 1.9135155253683285]","[2.456154256442929, 0.48551886464569527]",7.979260608315298
"[2.770313521801908, 1.7421559260816124]","[2.6846337221585506, 3.1130327203753403]",7.923667686321132
"[1.028157595720296, 0.7996781300046746]","[2.827433388230814, 0.6854383971468639]",8.405280604388762
"[1.9135155253683285, 1.2280771282214644]","[3.0273529207319823, 1.4851165271515385]",8.436146444479999
"[2.2847946571562128, 2.227674790727308]","[2.113435057869497, 2.056315191440592]",8.382872371191276
"[0.5426387310746006, 2.3419145235851184]","[2.0848751246550443, 2.2847946571562128]",8.134117591957507
"[0.48551886464569527, 2.1705549242984024]","[0.34271919857343197, 1.7992757925105178]",9.976165676954624
