g1,b1,exp_val
0.0,2.043927750528299,0.75
0.0,2.056544588494523,0.75
0.0,2.0691614264607474,0.75
0.0,2.0817782644269713,0.75
0.0,2.0943951023931953,0.75
0.0,2.107011940359419,0.75
0.0,2.1196287783256436,0.75
0.0,2.1322456162918675,0.75
0.0,2.1448624542580914,0.75
0.0,2.157479292224316,0.75
0.0,2.1700961301905397,0.75
0.0,2.1827129681567636,0.75
0.0,2.195329806122988,0.75
0.0,2.207946644089212,0.75
0.0,2.220563482055436,0.75
0.0,2.2331803200216602,0.75
0.0,2.245797157987884,0.75
0.0,2.258413995954108,0.75
0.0,2.2710308339203324,0.75
0.0,2.2836476718865564,0.75
0.0,2.2962645098527803,0.75
0.0,2.3088813478190047,0.75
0.0,2.3214981857852286,0.75
0.0,2.3341150237514525,0.75
0.0,2.346731861717677,0.75
0.0,2.359348699683901,0.75
0.0,2.3719655376501247,0.75
0.0,2.384582375616349,0.75
0.0,2.397199213582573,0.75
0.0,2.409816051548797,0.75
0.0,2.4224328895150213,0.75
0.0,2.4350497274812453,0.75
0.0,2.447666565447469,0.75
0.0,2.460283403413693,0.75
0.0,2.4729002413799175,0.75
0.0,2.4855170793461414,0.75
0.0,2.4981339173123653,0.75
0.0,2.5107507552785897,0.75
0.0,2.5233675932448136,0.75
0.0,2.5359844312110376,0.75
0.0,2.548601269177262,0.75
0.0,2.561218107143486,0.75
0.0,2.57383494510971,0.75
0.0,2.586451783075934,0.75
0.0,2.599068621042158,0.75
0.0,2.611685459008382,0.75
0.0,2.6243022969746064,0.75
0.0,2.6369191349408303,0.75
0.0,2.6495359729070542,0.75
0.0,2.6621528108732786,0.75
0.0,2.6747696488395025,0.75
0.0,2.6873864868057264,0.75
0.0,2.700003324771951,0.75
0.0,2.7126201627381747,0.75
0.0,2.7252370007043987,0.75
0.0,2.737853838670623,0.75
0.0,2.750470676636847,0.75
0.0,2.763087514603071,0.75
0.0,2.775704352569295,0.75
0.0,2.788321190535519,0.75
0.0,2.800938028501743,0.75
0.0,2.813554866467967,0.75
0.0,2.8261717044341914,0.75
0.0,2.8387885424004153,0.75
0.0,2.8514053803666393,0.75
0.0,2.8640222183328636,0.75
0.0,2.8766390562990876,0.75
0.0,2.8892558942653115,0.75
0.0,2.901872732231536,0.75
0.0,2.91448957019776,0.75
0.0,2.9271064081639837,0.75
0.0,2.939723246130208,0.75
0.0,2.952340084096432,0.75
0.0,2.964956922062656,0.75
0.0,2.9775737600288803,0.75
0.0,2.9901905979951042,0.75
0.0,3.002807435961328,0.75
0.0,3.0154242739275525,0.75
0.0,3.0280411118937764,0.75
0.0,3.0406579498600004,0.75
0.0,3.0532747878262247,0.75
0.0,3.0658916257924487,0.75
0.0,3.0785084637586726,0.75
0.0,3.0911253017248965,0.75
0.0,3.103742139691121,0.75
0.0,3.116358977657345,0.75
0.0,3.1289758156235687,0.75
0.0,3.141592653589793,0.75
0.025233675932448137,0.0,0.75
0.025233675932448137,0.012616837966224068,0.7492046006264625
0.025233675932448137,0.025233675932448137,0.7484106191274393
0.025233675932448137,0.03785051389867221,0.7476200773077961
0.025233675932448137,0.05046735186489627,0.7468349882135541
0.025233675932448137,0.06308418983112034,0.7460573510058431
0.025233675932448137,0.07570102779734442,0.745289145870212
0.025233675932448137,0.08831786576356848,0.744532328974258
0.025233675932448137,0.10093470372979255,0.7437888274864157
0.025233675932448137,0.11355154169601661,0.7430605346685906
0.025233675932448137,0.12616837966224068,0.7423493050551322
0.025233675932448137,0.13878521762846474,0.7416569497304234
0.025233675932448137,0.15140205559468883,0.7409852317171115
0.025233675932448137,0.1640188935609129,0.7403358614867241
0.025233675932448137,0.17663573152713696,0.739710492604103
0.025233675932448137,0.18925256949336103,0.7391107175167435
0.025233675932448137,0.2018694074595851,0.7385380634997667
0.025233675932448137,0.21448624542580916,0.7379939887668456
0.025233675932448137,0.22710308339203322,0.7374798787569905
0.025233675932448137,0.2397199213582573,0.7369970426066494
0.025233675932448137,0.25233675932448135,0.736546709816106
0.025233675932448137,0.26495359729070544,0.7361300271186635
0.025233675932448137,0.2775704352569295,0.7357480555605883
0.025233675932448137,0.2901872732231536,0.7354017677992477
0.025233675932448137,0.30280411118937767,0.7350920456263234
0.025233675932448137,0.3154209491556017,0.7348196777224038
0.025233675932448137,0.3280377871218258,0.734585357648679
0.025233675932448137,0.34065462508804983,0.7343896820808475
0.025233675932448137,0.3532714630542739,0.7342331492897323
0.025233675932448137,0.36588830102049796,0.7341161578724784
0.025233675932448137,0.37850513898672206,0.7340390057375599
